Python 3.6.2 (v3.6.2:5fd33b5, Jul  8 2017, 04:14:34) [MSC v.1900 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> 
 RESTART: H:\My Drive\2 Research\titas vai object detection\object_detect.py 
Width of frame:  1844.0


Frame Number,x coordinate of ROI,Width,Height,Width/Height
10 316 7 6 1.1666666666666667
15 344 7 5 1.4
20 376 6 6 1.0
20 449 8 5 1.6
25 376 6 6 1.0
25 449 8 5 1.6
40 337 8 5 1.6
45 337 8 5 1.6
50 337 8 5 1.6
60 224 7 6 1.1666666666666667
70 406 7 6 1.1666666666666667
80 389 9 5 1.8
85 389 9 5 1.8
105 277 6 6 1.0
135 279 5 5 1.0
135 343 7 5 1.4
190 431 7 5 1.4
200 274 5 5 1.0
205 274 5 5 1.0
210 406 6 5 1.2
230 292 5 5 1.0
235 292 5 5 1.0
240 235 5 5 1.0
245 235 5 5 1.0
260 417 8 6 1.3333333333333333
265 416 9 6 1.5
270 222 6 5 1.2
275 458 6 5 1.2
285 459 7 5 1.4
310 473 8 6 1.3333333333333333
330 441 6 5 1.2
340 317 6 5 1.2
340 433 6 5 1.2
360 253 6 6 1.0
360 363 6 6 1.0
360 319 8 5 1.6
360 440 6 5 1.2
370 245 9 5 1.8
370 327 5 5 1.0
375 439 7 5 1.4
405 395 6 6 1.0
410 386 7 6 1.1666666666666667
415 386 7 6 1.1666666666666667
425 384 7 5 1.4
435 394 5 5 1.0
435 216 6 5 1.2
435 249 6 5 1.2
440 231 6 6 1.0
445 231 6 6 1.0
465 283 5 5 1.0
480 430 7 5 1.4
485 253 7 6 1.1666666666666667
485 261 7 5 1.4
500 340 5 5 1.0
505 340 5 5 1.0
510 284 8 5 1.6
515 319 5 5 1.0
515 385 7 5 1.4
525 407 6 5 1.2
560 258 6 5 1.2
565 258 6 5 1.2
570 231 8 5 1.6
600 333 6 5 1.2
605 246 9 5 1.8
620 403 7 6 1.1666666666666667
625 403 7 6 1.1666666666666667
630 303 5 5 1.0
635 234 7 6 1.1666666666666667
635 368 7 5 1.4
640 234 7 6 1.1666666666666667
640 368 7 5 1.4
645 477 7 5 1.4
645 383 9 5 1.8
650 244 7 6 1.1666666666666667
650 363 7 6 1.1666666666666667
655 244 7 6 1.1666666666666667
655 363 7 6 1.1666666666666667
710 281 8 6 1.3333333333333333
710 488 6 5 1.2
715 281 8 6 1.3333333333333333
715 488 6 5 1.2
725 443 10 5 2.0
725 272 5 5 1.0
730 330 7 5 1.4
735 324 5 5 1.0
755 288 5 5 1.0
760 307 5 5 1.0
760 264 29 5 5.8
760 256 7 5 1.4
760 241 10 5 2.0
760 224 14 5 2.8
760 474 6 5 1.2
760 411 6 5 1.2
760 393 7 5 1.4
760 385 5 5 1.0
760 356 6 5 1.2
760 343 5 5 1.0
760 327 5 5 1.0
765 307 5 5 1.0
765 241 55 5 11.0
765 224 14 5 2.8
765 474 6 5 1.2
765 453 5 5 1.0
765 407 10 5 2.0
765 393 8 5 1.6
765 385 5 5 1.0
765 356 6 5 1.2
765 343 5 5 1.0
765 407 7 5 1.4
765 327 5 5 1.0
770 318 5 5 1.0
770 307 5 5 1.0
770 224 77 5 15.4
770 484 5 5 1.0
770 474 6 5 1.2
770 450 8 5 1.6
770 407 10 5 2.0
770 392 9 5 1.8
770 381 9 5 1.8
770 355 7 5 1.4
770 343 10 8 1.25
770 327 5 5 1.0
770 300 5 5 1.0
775 307 5 5 1.0
775 241 55 5 11.0
775 224 14 5 2.8
775 474 6 5 1.2
775 453 5 5 1.0
775 407 10 5 2.0
775 393 8 5 1.6
775 385 5 5 1.0
775 356 6 5 1.2
775 343 10 8 1.25
775 327 5 5 1.0
780 307 5 5 1.0
780 264 29 5 5.8
780 256 7 5 1.4
780 224 14 5 2.8
780 474 6 5 1.2
780 411 6 5 1.2
780 393 7 5 1.4
780 385 5 5 1.0
780 356 6 5 1.2
780 343 10 8 1.25
780 241 10 9 1.1111111111111112
780 327 5 5 1.0
785 343 5 5 1.0
785 242 5 5 1.0
785 327 5 5 1.0
790 417 7 5 1.4
795 263 8 6 1.3333333333333333
810 230 8 5 1.6
815 326 6 5 1.2
825 387 6 5 1.2
830 434 5 5 1.0
830 255 7 5 1.4
835 434 5 5 1.0
835 255 7 5 1.4
850 292 6 5 1.2
860 422 7 5 1.4
860 241 6 6 1.0
865 422 7 5 1.4
865 241 6 6 1.0
890 340 6 5 1.2
895 340 6 5 1.2
900 217 7 5 1.4
920 414 6 6 1.0
920 321 7 6 1.1666666666666667
925 414 6 6 1.0
925 321 7 6 1.1666666666666667
930 304 6 5 1.2
930 296 7 6 1.1666666666666667
930 244 5 5 1.0
935 321 8 5 1.6
935 235 8 6 1.3333333333333333
940 321 8 5 1.6
940 235 8 6 1.3333333333333333
945 308 7 5 1.4
950 229 5 5 1.0
955 229 5 5 1.0
980 251 7 5 1.4
985 251 7 5 1.4
1000 332 5 5 1.0
1010 289 6 6 1.0
1015 289 6 6 1.0
1025 427 6 6 1.0
1030 466 6 5 1.2
1030 439 5 5 1.0
1035 443 5 5 1.0
1035 279 5 5 1.0
1040 231 5 5 1.0
1040 432 7 5 1.4
1045 231 5 5 1.0
1045 432 7 5 1.4
1050 372 6 5 1.2
1050 237 6 5 1.2
1055 389 5 5 1.0
1060 326 7 6 1.1666666666666667
1060 226 7 5 1.4
1065 326 7 6 1.1666666666666667
1065 226 7 5 1.4
1070 351 6 6 1.0
1075 351 6 5 1.2
1080 280 6 5 1.2
1095 218 7 5 1.4
1100 218 6 5 1.2
1105 218 7 5 1.4
1115 218 6 6 1.0
1115 432 6 5 1.2
1120 218 6 6 1.0
1120 432 6 5 1.2
1125 227 6 6 1.0
1125 291 8 5 1.6
1140 229 9 5 1.8
1145 229 9 5 1.8
1150 251 6 6 1.0
1160 236 5 5 1.0
1170 308 6 5 1.2
1170 265 6 5 1.2
1180 281 6 5 1.2
1185 369 6 5 1.2
1190 372 6 5 1.2
1195 372 6 5 1.2
1205 252 6 5 1.2
1205 280 6 6 1.0
1210 281 5 5 1.0
1210 252 6 5 1.2
1215 253 5 5 1.0
1265 488 6 5 1.2
1270 263 6 6 1.0
1275 372 7 5 1.4
1290 273 6 5 1.2
1300 447 5 5 1.0
1305 357 8 5 1.6
1310 406 6 5 1.2
1315 406 6 5 1.2
1320 301 8 5 1.6
1320 475 7 6 1.1666666666666667
1350 393 6 5 1.2
1350 442 5 5 1.0
1370 382 6 5 1.2
1375 382 6 5 1.2
1390 261 5 5 1.0
1390 329 7 6 1.1666666666666667
1395 216 7 6 1.1666666666666667
1410 288 6 5 1.2
1420 352 7 6 1.1666666666666667
1425 276 7 5 1.4
1430 276 7 5 1.4
1435 276 7 5 1.4
1440 441 9 6 1.5
1445 441 9 6 1.5
1450 340 7 5 1.4
1460 391 8 5 1.6
1460 385 6 5 1.2
1460 393 6 5 1.2
1465 391 8 5 1.6
1465 385 6 5 1.2
1465 393 6 5 1.2
1470 337 7 5 1.4
1510 228 6 5 1.2
1515 228 6 5 1.2
1535 406 6 5 1.2
1540 302 8 5 1.6
1560 241 6 6 1.0
1565 241 6 6 1.0
1580 342 7 6 1.1666666666666667
1585 342 7 6 1.1666666666666667
1600 233 5 5 1.0
1605 276 6 5 1.2
1605 234 5 5 1.0
1610 421 6 5 1.2
1610 381 6 6 1.0
1615 421 6 5 1.2
1615 381 6 6 1.0
1630 352 5 5 1.0
1635 249 7 6 1.1666666666666667
1640 265 8 5 1.6
1645 265 8 5 1.6
1655 307 6 5 1.2
1660 307 6 5 1.2
1740 293 8 6 1.3333333333333333
1750 480 5 5 1.0
1760 297 9 5 1.8
1760 353 5 5 1.0
1765 297 9 5 1.8
1765 353 5 5 1.0
1770 279 5 5 1.0
1770 364 5 5 1.0
1840 360 6 6 1.0
1840 309 6 5 1.2
1860 475 8 5 1.6
Total frame:  1864
Frame sampled:  373
>>> 
